durationOfSession,steps,device,city,country,platform,current_filters,impressions,priceMean,hotel Facilities,interaction item image,search for poi,filter selection,interaction item info,search for destination,interaction item rating,change of sort order,interaction item deals,search for item,target
0.0,1,mobile,Sayulita, Mexico,MX,0,25,105,382,0,0,0,0,0,0,0,0,0,1
4811.0,162,mobile,Vitória, Brazil,BR,1,25,38,1170,142,0,1,2,0,2,2,12,0,1
126.0,5,mobile,Mussoorie, India,IN,0,25,32,870,2,0,0,0,0,0,0,0,0,1
260.0,14,desktop,Moscow, Russia,RU,1,25,70,1609,0,0,2,0,1,0,6,0,0,1
0.0,1,mobile,Florence, Italy,ES,0,25,79,1118,0,0,0,0,0,0,0,0,0,1
0.0,1,mobile,Hakone, Japan,JP,0,25,435,789,0,0,0,0,0,0,0,0,0,1
17.0,2,mobile,Charlotte, USA,US,0,25,96,1086,0,0,0,0,1,0,0,0,0,1
231.0,37,tablet,Rotterdam, Netherlands,NL,0,25,136,949,32,0,0,1,0,0,0,0,0,1
0.0,1,mobile,Agistro, Greece,GR,0,25,34,687,0,0,0,0,0,0,0,0,0,1
77.0,2,desktop,Porto Seguro, Brazil,BR,0,25,41,833,0,0,0,0,1,0,0,0,0,1
262.0,3,tablet,Friesenheim, Germany,DE,0,25,75,685,0,0,0,0,1,0,0,0,0,1
365.0,3,desktop,Istanbul, Turkey,UK,0,25,79,1406,0,0,0,0,0,0,0,0,0,1
162.0,18,mobile,Recife, Brazil,AR,0,25,52,1089,16,0,0,0,1,0,0,0,0,1
122.0,35,desktop,Kata Beach, Thailand,CH,0,0,0,0,34,0,0,0,0,0,0,1,0,0
701.0,97,desktop,Muntinlupa, Philippines,PH,1,25,86,1280,90,0,1,0,2,0,0,0,3,1
0.0,1,mobile,Lampang, Thailand,TH,0,25,17,560,0,0,0,0,0,0,0,0,0,1
0.0,1,desktop,Oberhof, Germany,DE,0,2,344.5,126,0,0,0,0,0,0,0,0,0,1
0.0,1,mobile,Längenfeld, Austria,NL,0,25,168,1265,0,0,0,0,0,0,0,0,0,1
1882.0,35,tablet,Atibaia, Brazil,BR,3,13,149.0,745,16,0,6,0,5,0,0,0,6,1
160.0,3,desktop,Paris, France,ES,0,21,515,935,0,0,0,0,2,0,0,0,0,1
46.0,2,mobile,Kuching, Malaysia,MY,0,0,0,0,0,0,0,0,2,0,0,0,0,0
414.0,92,desktop,Macau, China,HK,1,25,121,1468,87,0,2,0,1,0,0,0,0,1
0.0,1,mobile,Malacca, Malaysia,MY,0,25,82,756,0,0,0,0,0,0,0,0,0,1
1005.0,4,desktop,Tumon, Guam,JP,0,14,90.5,994,0,0,0,0,1,0,0,0,0,1
762.0,8,desktop,Melbourne, Australia,AU,1,25,132,1564,0,2,1,0,0,0,3,0,0,1
108.0,11,mobile,Pasadena, USA,UK,1,25,106,740,4,0,1,0,0,0,2,0,0,1
99.0,3,desktop,Brussels, Belgium,IT,1,25,60,751,0,0,1,0,1,0,0,0,0,1
319.0,5,mobile,Tapalpa, Mexico,MX,0,7,49,111,3,0,0,0,0,0,0,0,1,1
0.0,1,desktop,Can Picafort, Spain,UK,0,25,80,1445,0,0,0,0,0,0,0,0,0,1
10.0,3,mobile,Tandil, Argentina,AR,1,25,42,638,0,0,1,0,1,0,0,0,0,1
123.0,16,mobile,Cebu City, Philippines,PH,0,25,28,597,11,0,0,2,0,1,0,1,0,1
1657.0,8,mobile,Brașov, Romania,RO,1,25,45,1159,0,0,2,0,0,0,4,0,0,1
0.0,1,tablet,New York, USA,US,0,25,83,1168,0,0,0,0,0,0,0,0,0,1
1025.0,16,mobile,Sydney, Australia,AU,0,25,95,1756,12,2,0,0,0,0,0,0,0,1
18.0,9,mobile,Jijoca de Jericoacoara, Brazil,BR,0,25,69,889,8,0,0,0,0,0,0,0,0,1
0.0,1,desktop,Valle de Bravo, Mexico,MX,0,25,77,803,0,0,0,0,0,0,0,0,0,1
1101.0,19,desktop,Hong Kong, Hong Kong,DE,2,14,297.0,2467,0,0,12,0,2,0,0,1,0,1
584.0,2,mobile,San Juan, Puerto Rico,US,0,25,274,1263,0,0,0,0,1,0,0,0,0,1
36.0,3,tablet,Bruges, Belgium,UK,1,25,105,1207,0,0,2,0,0,0,0,0,0,1
664.0,13,desktop,Soma Bay, Egypt,CZ,0,25,52,3162,5,0,0,0,1,1,0,0,1,1
93.0,13,mobile,Paris, France,HU,1,0,0,0,8,0,1,1,0,1,2,0,0,0
39.0,5,mobile,Tonalá, Mexico,MX,0,2,70.5,26,4,0,0,0,0,0,0,0,0,1
0.0,1,tablet,Tokyo, Japan,JP,0,25,78,910,0,0,0,0,0,0,0,0,0,1
1018.0,14,desktop,Las Vegas, USA,SG,0,25,319,3173,10,1,0,0,0,0,0,0,0,1
2040.0,14,desktop,Los Angeles, USA,US,1,25,175,2240,0,1,2,1,0,0,6,0,0,1
84.0,3,tablet,Tsuchiura, Japan,JP,0,4,96.0,64,2,0,0,0,0,0,0,0,0,1
3.0,3,mobile,Trabzon, Turkey,NL,0,25,34,1084,2,0,0,0,0,0,0,0,0,1
34.0,25,mobile,Winterberg, Germany,DE,0,25,88,996,24,0,0,0,0,0,0,0,0,1
0.0,1,mobile,York, United Kingdom,UK,0,25,93,1016,0,0,0,0,0,0,0,0,0,1
0.0,1,mobile,Sapporo, Japan,KR,0,25,94,1106,0,0,0,0,0,0,0,0,0,1
24.0,4,mobile,Hakuba, Japan,JP,0,24,109.0,676,0,0,0,0,0,1,1,0,1,1
77.0,3,desktop,Sangenjo, Spain,ES,0,24,58.5,1051,2,0,0,0,0,0,0,0,0,1
157.0,3,desktop,Puerto Vallarta, Mexico,MX,0,25,110,1747,0,0,0,0,0,0,0,0,2,1
2.0,2,mobile,Ampang, Malaysia,MY,0,17,19,286,0,0,0,0,1,0,0,0,0,1
0.0,1,mobile,Arraial do Cabo, Brazil,BR,0,25,50,650,0,0,0,0,0,0,0,0,0,1
146.0,11,mobile,Merlo, Argentina,AR,0,25,66,745,4,0,0,3,0,2,0,0,0,1
30.0,17,mobile,Bora Bora, French Polynesia,TR,0,11,527,612,16,0,0,0,0,0,0,0,0,1
113.0,6,mobile,Şanlıurfa, Turkey,TR,0,23,35,673,2,1,0,0,1,0,0,0,0,1
823.0,15,mobile,Amsterdam, Netherlands,DE,0,25,136,2087,9,0,0,1,0,1,0,0,1,1
72.0,4,desktop,Playa del Carmen, Mexico,MX,1,0,0,0,0,0,1,0,1,0,2,0,0,0
102.0,5,mobile,Manhattan, USA,DE,1,25,138,649,0,0,1,0,1,0,2,0,0,1
0.0,1,mobile,Neuchâtel, Switzerland,CH,0,25,118,863,0,0,0,0,0,0,0,0,0,1
1784.0,61,mobile,Konya, Turkey,TR,1,25,13,774,46,0,0,2,0,7,0,3,0,1
2265.0,15,mobile,Hamburg, Germany,DE,0,25,224,6696,0,0,0,1,1,1,0,1,0,1
354.0,27,mobile,Miami Beach, USA,CL,0,25,334,1600,24,0,0,0,1,0,0,0,0,1
0.0,1,mobile,Chester, United Kingdom,UK,0,25,82,1297,0,0,0,0,0,0,0,0,0,1
542.0,27,desktop,Dublin, Ireland,DE,1,25,65,1000,12,1,9,0,0,0,3,0,0,1
56.0,2,mobile,Piratuba, Brazil,BR,0,15,75,308,0,0,0,0,0,0,0,0,0,1
137.0,9,desktop,Abu Dhabi, United Arab Emirates,AE,1,25,48,1183,0,0,1,0,1,0,5,0,0,1
54.0,2,mobile,Acapulco, Mexico,MX,0,25,73,1423,0,0,0,0,1,0,0,0,0,1
5.0,3,mobile,Ukunda, Kenya,US,0,24,93.5,947,2,0,0,0,0,0,0,0,0,1
338.0,104,desktop,Gangtok, India,IN,1,0,0,0,86,0,4,2,0,1,10,1,0,0
24.0,4,mobile,Shimla, India,IN,0,0,0,0,0,0,0,2,0,0,1,1,0,0
10.0,3,tablet,Mittersill, Austria,NL,0,0,0,0,3,0,0,0,0,0,0,0,0,0
125.0,12,mobile,London, United Kingdom,IT,2,25,425,1235,8,0,2,0,0,0,0,0,0,1
149.0,31,mobile,Myrtle Beach, USA,US,0,25,67,1215,29,0,0,0,0,1,0,0,0,1
1027.0,35,mobile,Shimla, India,IN,1,25,23,1249,25,0,1,0,1,0,2,0,0,1
138.0,5,mobile,Siófok, Hungary,HU,1,12,83.0,361,0,1,2,0,1,0,0,0,0,1
160.0,15,desktop,London, United Kingdom,UK,0,25,266,749,12,0,0,1,0,0,0,1,0,1
0.0,1,mobile,Edmonton, Canada,CA,0,25,80,1322,0,0,0,0,0,0,0,0,0,1
824.0,74,desktop,Tunuyán, Argentina,US,0,10,233.0,260,71,0,0,0,0,0,0,0,2,1
311.0,4,mobile,Rotherham, United Kingdom,UK,0,14,68.0,480,0,0,0,0,1,0,0,2,0,1
97.0,2,mobile,Istanbul, Turkey,TR,0,25,49,2798,0,0,0,0,0,0,0,0,0,1
0.0,1,mobile,Barcelona, Spain,ES,0,25,91,1318,0,0,0,0,0,0,0,0,0,1
11.0,3,desktop,Dubai, United Arab Emirates,RU,0,25,212,1814,0,0,0,0,0,1,0,1,0,1
0.0,1,mobile,Bednja, Croatia,HR,0,20,41.0,375,0,0,0,0,0,0,0,0,0,1
140.0,23,mobile,Arraial do Cabo, Brazil,BR,0,25,44,606,15,0,0,1,0,0,0,1,0,1
429.0,29,mobile,Paris, France,DE,2,25,87,2104,0,2,15,0,3,0,6,0,0,1
691.0,6,mobile,London, United Kingdom,UK,0,25,177,2186,4,0,0,0,0,0,0,0,0,1
465.0,3,mobile,Konya, Turkey,TR,0,25,24,1199,0,0,0,0,1,0,0,0,0,1
21.0,14,mobile,Arraial do Cabo, Brazil,BR,0,25,51,402,11,0,0,1,0,0,0,0,0,1
253.0,21,mobile,Rome, Italy,IT,1,25,54,1061,14,0,2,0,0,0,4,0,0,1
-286188.0,5,mobile,Saint-Laurent-de-Mure, France,FR,0,25,60,2552,4,0,0,2,0,1,0,3,0,1
0.0,1,mobile,Veysonnaz, Switzerland,IT,0,24,110.0,904,0,0,0,0,0,0,0,0,0,1
0.0,1,mobile,Panama City, Panama,US,0,25,74,1390,0,0,0,0,0,0,0,0,0,1
1605.0,113,mobile,Chiang Mai, Thailand,TH,0,25,98,1277,101,0,0,0,0,0,0,0,0,1
37.0,22,desktop,Hong Kong, Hong Kong,TW,0,25,141,1278,21,0,0,0,0,0,0,0,0,1
34.0,23,mobile,Águas de Lindóia, Brazil,BR,0,25,68,1000,22,0,0,0,0,0,0,0,0,1
6.0,3,mobile,Poiana Braşov, Romania,RO,0,25,42,947,2,0,0,0,0,0,0,0,0,1
108.0,3,mobile,Rome, Italy,IT,0,25,56,719,0,1,0,0,1,0,0,0,0,1
0.0,1,mobile,Puerto Vallarta, Mexico,MX,0,0,0,0,0,0,0,0,0,0,0,0,1,0
143.0,2,desktop,Nashik, India,IN,0,25,16,290,0,0,0,0,1,0,0,0,0,1
128.0,44,mobile,Kato Paphos, Cyprus,DE,0,25,79,1746,42,0,0,1,0,0,0,0,0,1
209.0,5,desktop,Mina Clavero, Argentina,AR,2,25,42.0,525,0,0,2,1,0,0,0,0,0,1
727.0,21,desktop,Kyoto, Japan,JP,1,25,39,345,3,3,3,0,1,0,9,0,0,1
22.0,4,mobile,Nagpur, India,IN,0,25,16,695,2,0,0,0,0,0,0,1,0,1
42.0,3,tablet,Trier Treves, Germany,DE,0,25,93,1092,0,0,0,0,0,2,0,0,0,1
417.0,11,mobile,Neuville-les-Dames, France,FR,1,15,101,1152,0,0,2,1,1,0,4,0,0,1
172.0,3,mobile,Merida, Mexico,MX,0,25,60,1283,0,0,0,0,0,0,0,0,0,1
395.0,3,mobile,Hardeeville, USA,CA,0,12,43.5,330,0,0,0,0,1,0,0,0,0,1
183664.0,5,mobile,Florianópolis, Brazil,BR,0,25,39,2428,0,0,0,0,0,1,0,0,0,1
34.0,5,desktop,Nafplio, Greece,GR,1,25,60,708,0,0,1,0,1,0,2,0,0,1
96.0,4,tablet,Arlanda, Sweden,SE,0,25,92,917,2,0,0,0,0,0,0,0,1,1
0.0,1,mobile,Istanbul, Turkey,BG,0,0,0,0,0,0,0,0,0,0,0,1,0,0
592.0,63,mobile,Fortaleza, Brazil,BR,0,25,95,1283,61,0,0,0,0,0,0,1,0,1
40.0,2,mobile,Zakopane, Poland,PL,0,25,240,534,0,0,0,0,1,0,0,0,0,1
13.0,3,mobile,Hat Yai, Thailand,SG,0,25,31,687,2,0,0,0,0,0,0,0,0,1
1.0,2,mobile,Tarifa, Spain,MX,0,25,47,713,0,0,0,1,0,0,0,0,0,1
327.0,5,desktop,Bayan Lepas, Malaysia,MY,0,25,29,1655,0,0,0,0,0,1,0,0,2,1
1195.0,2,desktop,London, United Kingdom,UK,0,25,79,719,0,1,0,0,0,0,0,0,0,1
1984.0,5,desktop,Praia Grande, Brazil,BR,0,25,65,1180,0,1,0,0,0,0,1,1,0,1
0.0,1,mobile,Singapore, Singapore,DE,0,25,94,1114,0,0,0,0,0,0,0,0,0,1
938.0,9,mobile,Gravatá, Brazil,BR,0,18,276,861,3,0,0,1,0,0,0,0,1,1
13.0,2,desktop,Sydney, Australia,AU,0,25,166,1212,0,0,0,0,0,0,0,0,1,1
130.0,6,desktop,Sanur, Indonesia,AU,0,25,72,1332,2,1,0,0,0,0,0,0,0,1
986.0,5,mobile,Ilhéus, Brazil,BR,0,14,81,1789,0,0,0,0,0,1,0,1,0,1
172.0,25,desktop,Minamioguni, Japan,HK,0,25,306,497,22,1,0,0,0,0,0,0,0,1
169.0,4,mobile,Yokohama, Japan,JP,0,25,84,1089,2,0,0,0,0,0,0,0,0,1
0.0,1,mobile,Tokyo, Japan,JP,0,25,163,934,0,0,0,0,0,0,0,0,0,1
120.0,43,desktop,Paris, France,FR,0,25,169,3614,38,0,0,0,0,1,0,1,0,1
0.0,1,desktop,Galinhos, Brazil,BR,0,12,34.0,146,0,0,0,0,0,0,0,0,0,1
1832.0,167,desktop,Belek, Turkey,UK,1,25,45,1723,160,0,1,0,1,0,2,0,0,1
317.0,22,mobile,Acapulco, Mexico,MX,0,25,85,1361,21,0,0,0,0,0,0,0,0,1
91.0,7,mobile,Narita, Japan,JP,1,14,171.5,497,0,3,3,0,0,0,0,0,0,1
0.0,1,desktop,Miami, USA,CA,0,23,110,169,0,0,0,0,0,0,0,0,0,1
109.0,3,desktop,Cape Town, South Africa,ZA,0,25,115,1243,0,1,0,0,0,0,0,0,0,1
151.0,2,desktop,Beirut, Lebanon,AA,0,25,86,1386,0,0,0,0,1,0,0,0,0,1
18.0,2,desktop,Heidelberg, Germany,DE,0,25,114,1040,0,0,0,0,0,0,0,0,0,1
283.0,65,mobile,Ubatuba, Brazil,BR,0,0,0,0,60,0,0,4,0,0,0,1,0,0
75.0,8,mobile,Tokyo, Japan,JP,1,25,50,445,0,0,2,0,0,0,4,0,0,1
0.0,1,desktop,Liverpool, United Kingdom,US,0,25,93,1191,0,0,0,0,0,0,0,0,0,1
83.0,12,mobile,Fréjus, France,FR,0,25,56,875,11,0,0,0,0,0,0,0,0,1
966.0,8,desktop,Paris, France,ES,1,25,266,2627,0,0,3,0,1,0,0,0,0,1
10.0,3,desktop,Dublin, Ireland,UK,0,0,0,0,2,0,0,1,0,0,0,0,0,0
25.0,2,mobile,Delhi, India,IN,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0.0,1,mobile,Las Vegas, USA,US,0,25,112,1566,0,0,0,0,0,0,0,0,0,1
496.0,30,mobile,Bratislava, Slovakia,AT,1,24,86.5,2410,25,0,1,1,0,1,0,0,0,1
148.0,5,mobile,Doncaster, United Kingdom,UK,1,25,86,1693,0,0,1,0,0,0,2,0,0,1
479.0,14,desktop,Eger, Hungary,HU,2,25,58,1011,0,0,11,0,1,0,0,0,0,1
0.0,1,desktop,Santos, Brazil,BR,0,25,58,1048,0,0,0,0,0,0,0,0,0,1
1754.0,12,desktop,Marrakech, Morocco,CA,1,25,113,2525,0,1,5,0,1,0,2,0,1,1
134.0,35,mobile,Krakow, Poland,FI,0,25,64,1081,33,0,0,1,0,0,0,0,0,1
218.0,4,mobile,Manchester, United Kingdom,UK,0,25,123,2204,0,0,0,0,1,0,0,0,0,1
11.0,3,mobile,Mudan Township, Taiwan,TW,0,25,54,756,2,0,0,0,0,0,0,0,0,1
8.0,2,mobile,Gramado, Brazil,BR,0,24,66.5,534,0,0,0,0,0,0,0,0,0,1
1742.0,7,desktop,Mazamitla, Mexico,MX,0,12,40.0,276,2,0,0,0,0,3,0,0,0,1
0.0,1,desktop,Bad Neuenahr-Ahrweiler, Germany,DE,0,25,105,1118,0,0,0,0,0,0,0,0,0,1
79.0,2,mobile,Nagano, Japan,JP,0,25,318,409,0,1,0,0,0,0,0,0,0,1
42.0,2,mobile,Playa Pesquero, Cuba,ES,0,14,109.5,523,0,0,0,0,0,0,0,0,0,1
0.0,1,mobile,Montréal, Canada,US,0,25,106,1172,0,0,0,0,0,0,0,0,0,1
381.0,2,desktop,Funchal, Portugal,RU,0,25,90,1706,0,0,0,0,0,0,0,0,0,1
654.0,5,mobile,Kuching, Malaysia,MY,0,25,16,1375,0,0,0,0,1,1,0,0,0,1
0.0,1,mobile,Málaga, Spain,BR,0,0,0,0,0,0,0,0,0,0,0,0,1,0
390.0,23,mobile,Villa Las Rosas, Argentina,AR,2,25,80,642,16,0,2,1,1,0,0,0,0,1
40.0,23,mobile,Canoa Quebrada, Brazil,BR,0,0,0,0,23,0,0,0,0,0,0,0,0,0
185.0,15,desktop,Tredegar, United Kingdom,UK,1,25,67,753,0,0,4,0,0,0,8,1,0,1
0.0,1,mobile,Kontokali, Greece,DE,0,25,54,1082,0,0,0,0,0,0,0,0,0,1
30.0,17,mobile,Warsaw, Poland,PL,0,25,69,859,16,0,0,0,0,0,0,0,0,1
0.0,1,mobile,London, United Kingdom,UK,0,25,67,1195,0,0,0,0,0,0,0,0,0,1
0.0,1,mobile,Guaratuba, Brazil,BR,0,20,33.5,479,0,0,0,0,0,0,0,0,0,1
817.0,17,mobile,Sanya, China,RU,4,25,88,896,2,0,4,1,3,0,2,3,1,1
1297.0,429,mobile,Playa del Carmen, Mexico,MX,0,25,55,972,423,0,0,0,1,2,0,1,0,1
305.0,4,desktop,Banting, Malaysia,MY,0,16,41.0,202,0,0,0,2,0,1,0,0,0,1
1239.0,4,mobile,Puebla, Mexico,MX,0,15,44,433,0,0,0,0,0,0,0,0,0,1
0.0,1,mobile,Rzeszów, Poland,PL,0,25,33,852,0,0,0,0,0,0,0,0,0,1
705.0,48,desktop,Fortaleza, Brazil,BR,1,25,19,1288,31,0,8,0,0,0,4,0,1,1
37.0,2,desktop,Cancun, Mexico,US,0,25,359,1525,0,0,0,0,0,0,0,0,1,1
995.0,28,mobile,Agra, India,IN,1,25,16,883,25,0,1,0,0,0,0,0,0,1
244.0,59,mobile,Serra Negra, Brazil,BR,0,12,52.0,243,57,0,0,1,0,0,0,0,0,1
10026.0,73,mobile,Sagar, India,IN,0,25,38,2651,96,0,0,0,2,0,0,2,2,1
34.0,2,desktop,Noboribetsu, Japan,JP,0,14,537.5,353,0,1,0,0,0,0,0,0,0,1
138.0,9,mobile,Cancun, Mexico,CO,0,25,54,1258,4,0,0,1,1,1,0,0,0,1
0.0,1,mobile,Bhuj, India,IN,0,25,33,513,0,0,0,0,0,0,0,0,0,1
0.0,1,mobile,London, United Kingdom,AT,0,25,101,989,0,0,0,0,0,0,0,0,0,1
464.0,5,mobile,Porto Seguro, Brazil,AR,0,25,66,1237,0,0,0,1,1,0,0,1,1,1
10.0,5,mobile,Cancun, Mexico,UK,0,25,236,1454,4,0,0,0,0,0,0,0,0,1
202.0,3,tablet,Larissa, Greece,GR,0,14,56.0,511,2,0,0,0,0,0,0,0,0,1
4.0,3,mobile,Paris, France,FR,0,25,89,1020,2,0,0,0,0,0,0,0,0,1
861.0,3,desktop,Side, Turkey,TR,0,25,31,1461,0,0,0,0,0,0,0,0,0,1
0.0,2,desktop,Kuchugury, Russia,RU,0,25,27,169,0,0,0,0,0,0,0,0,0,1
267.0,13,desktop,Paris, France,FR,1,25,49,1932,2,0,4,0,0,0,4,0,1,1
192.0,17,mobile,Ballarat, Australia,AU,0,25,111,1558,14,0,0,0,1,0,0,0,0,1
2832.0,21,desktop,Perote, Mexico,MX,0,1,25,674,18,0,0,0,0,0,0,0,0,1
2018.0,40,desktop,Budapest, Hungary,IL,0,25,61,1189,30,0,0,0,0,1,0,0,0,1
0.0,1,mobile,La Val, Italy,CH,0,25,176,1295,0,0,0,0,0,0,0,0,0,1
0.0,1,mobile,Schmallenberg, Germany,NL,0,25,163,848,0,0,0,0,0,0,0,0,0,1
91.0,2,desktop,Tromsø, Norway,NO,0,25,97,884,0,0,0,0,1,0,0,0,0,1
3665.0,314,mobile,Maceió, Brazil,BR,1,24,61.0,4859,303,0,1,2,0,2,0,2,0,1
0.0,1,mobile,Otopeni, Romania,RO,0,25,40,640,0,0,0,0,0,0,0,0,0,1
214.0,89,mobile,Mersin, Turkey,AA,0,25,31,997,85,0,0,2,0,1,0,0,0,1
150.0,3,mobile,Manoc Manoc, Philippines,PH,0,25,72,2020,1,0,0,0,0,0,0,0,0,1
0.0,1,mobile,Agra, India,IN,0,2,18.5,2,0,0,0,0,0,0,0,0,0,1
0.0,1,mobile,Brașov, Romania,RO,0,25,62,834,0,0,0,0,0,0,0,0,0,1
447.0,20,mobile,San Diego, USA,US,1,25,197,1036,11,0,2,0,1,1,4,0,0,1
1174.0,4,mobile,Chicago, USA,VN,0,25,156,1188,2,0,0,0,0,0,0,1,0,1
37.0,2,tablet,Cádiz, Spain,UK,0,25,102,868,0,0,0,0,0,0,1,0,0,1
10.0,3,mobile,Cape Panwa, Thailand,FI,0,25,79,1093,2,0,0,0,0,0,0,0,0,1
0.0,1,mobile,Poprad, Slovakia,SK,0,25,32,734,0,0,0,0,0,0,0,0,0,1
405.0,71,mobile,Abant, Turkey,TR,0,16,38.0,553,58,1,0,4,1,2,0,2,1,1
335.0,74,mobile,Sharm el-Sheikh, Egypt,RU,0,25,86,1783,71,0,0,0,0,0,0,1,0,1
41.0,17,mobile,Moscow, Russia,RU,0,25,68,1245,16,0,0,0,0,0,0,0,0,1
414.0,3,mobile,Poços de Caldas, Brazil,BR,0,12,159.5,523,0,0,0,0,1,0,0,1,0,1
968.0,28,tablet,Ribeirão Preto, Brazil,BR,2,25,37,755,19,0,4,2,1,0,0,1,0,1
65.0,12,mobile,Alexandria, Egypt,AA,1,0,0,0,6,0,1,1,0,1,2,1,0,0
1218.0,3,mobile,Hong Kong, Hong Kong,HK,0,25,93,2505,0,0,0,0,0,0,0,0,0,1
0.0,1,mobile,Gravatá, Brazil,BR,0,17,53,526,0,0,0,0,0,0,0,0,0,1
178.0,41,mobile,Beberibe, Brazil,BR,0,12,83.5,133,38,0,0,0,1,0,0,1,0,1
0.0,1,mobile,Sinaia, Romania,RO,0,22,82.0,475,0,0,0,0,0,0,0,0,0,1
4526.0,19,desktop,Buenos Aires, Argentina,BR,2,25,45,417,0,0,6,0,7,0,4,0,1,1
0.0,1,mobile,Camaçari, Brazil,BR,0,24,68.0,856,0,0,0,0,0,0,0,0,0,1
101004.0,32,desktop,London, United Kingdom,UK,0,25,65,1902,30,3,0,0,1,0,0,0,0,1
705.0,3,desktop,Cabo Frio, Brazil,BR,0,25,245,2204,0,0,0,0,0,0,0,0,1,1
10.0,5,mobile,Morioka, Japan,JP,1,23,61,675,0,0,1,1,0,0,2,0,0,1
155.0,5,mobile,Guwahati, India,IN,0,25,30,785,2,0,0,1,0,0,0,0,0,1
0.0,1,mobile,Malacca, Malaysia,MY,0,25,53,791,0,0,0,0,0,0,0,0,0,1
83.0,7,tablet,Tazacorte, Spain,DE,2,25,60,760,0,0,6,0,0,0,0,0,0,1
253.0,55,desktop,Bakersfield, USA,US,1,25,55,772,37,0,14,0,2,0,0,0,0,1
5.0,3,mobile,Hurghada, Egypt,SE,0,25,94,1581,2,0,0,0,0,0,0,0,0,1
22.0,2,mobile,Bagshot, United Kingdom,UK,0,25,96,1112,0,0,0,0,0,0,0,0,1,1
221.0,25,mobile,Salta City, Argentina,AR,0,25,44,1692,23,0,0,0,0,0,0,0,0,1
8831.0,303,desktop,São Paulo, Brazil,BR,0,25,35,1427,280,0,0,0,2,1,0,6,12,1
0.0,1,mobile,Bratislava, Slovakia,SK,0,25,66,1024,0,0,0,0,0,0,0,0,0,1
542.0,2,mobile,Bolpur, India,IN,0,22,79.0,151,0,0,0,1,0,0,0,0,0,1
12.0,3,mobile,Cheltenham, United Kingdom,UK,0,25,91,1159,0,0,0,0,0,1,0,1,0,1
1100.0,48,mobile,Perth, Australia,AU,4,25,76,3769,23,0,8,0,0,0,4,2,0,1
77.0,17,desktop,Mahabaleshwar, India,IN,0,1,209,30,14,0,0,0,2,0,0,0,0,1
2.0,3,mobile,Dubai, United Arab Emirates,SK,0,25,91,1558,2,0,0,0,0,0,0,0,0,1
31.0,2,mobile,Beckley, USA,US,0,16,66.5,641,0,0,0,0,1,0,0,0,0,1
0.0,1,mobile,Pigeon Forge, USA,US,0,25,52,1075,0,0,0,0,0,0,0,0,0,1
810.0,4,mobile,Padua, Italy,AU,0,25,89,1950,0,0,0,0,0,0,0,0,0,1
